episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
1640,1,-0.33608117550611494,0.348671556136643,1,5.0,20
1640,0,-0.05083106681704519,0.14439840945977755,5,25.0,20
1640,1,-0.3367003459949046,0.4031729702627753,1,5.0,20
1680,0,0.0005486402660608569,0.17346361904575872,10,50.0,20
1680,1,-0.34816219806671145,0.3155663924398094,1,5.0,20
1680,0,-0.014577252045273756,0.10887589687295357,8,40.0,20
1680,1,-0.3245541493408382,0.40706849054801225,3,15.0,20
1720,0,0.00822949986904862,0.09286331741579953,8,40.0,20
1720,1,0.13456405624747278,0.3466820126657705,2,10.0,20
1720,0,0.016771317273378397,0.1586923177976495,4,20.0,20
1720,1,-0.10397196412086485,0.3433566187443948,5,25.0,20
1760,0,-0.013230924308299993,0.2106399329045484,4,20.0,20
1760,1,0.4298163026571273,0.33199453086499414,2,10.0,20
1760,0,-0.09638206176459788,0.19806567289134613,2,10.0,20
1760,1,0.4277679294347762,0.2843189970744337,1,5.0,20
1800,0,-0.05060763023793695,0.2185324852641861,4,20.0,20
1800,1,0.47153315842151633,0.2828919961756556,1,5.0,20
1800,0,-0.049156565405428385,0.18452631340742442,4,20.0,20
1800,1,0.45213574767112724,0.29411878428227156,1,5.0,20
1840,0,-0.12416036427021024,0.2649829612545387,5,25.0,20
1840,1,0.08590874001383783,0.17784706034327888,5,25.0,20
1840,0,-0.10084584914147851,0.1688313549523892,4,20.0,20
1840,1,0.1416098788380623,0.19446385011091372,4,20.0,20
1880,0,-0.10978768467903136,0.2125433259111794,2,10.0,20
1880,1,-0.10682396199554203,0.1729667456645752,6,30.0,20
1880,0,-0.08556270338594911,0.22578682695299468,3,15.0,20
1880,1,-0.11020445786416529,0.17466360987207827,5,25.0,20
1920,0,0.0006190404295921603,0.2268167491633313,6,30.0,20
1920,1,0.10479392940178515,0.18460375888574265,3,15.0,20
1920,0,0.06996558643877508,0.18646202930829545,2,10.0,20
1920,1,0.10510872378945353,0.19461599373254715,5,25.0,20
1960,0,-0.05305847115814684,0.12759327110095345,6,30.0,20
1960,1,-0.01922782398760316,0.180559207295408,3,15.0,20
1960,0,-0.037390980869531604,0.13680580792740807,4,20.0,20
1960,1,0.008900606073439146,0.20412004186761823,4,20.0,20
2000,0,0.3888150483369827,0.245070538912652,2,10.0,20
2000,1,0.04384785890579226,0.2046038472806068,1,5.0,20
2000,0,0.3743936806917191,0.23368918167162422,1,5.0,20
2000,1,0.01197896078228953,0.21996989248956123,2,10.0,20
2040,0,0.1917643152177334,0.19429392947753238,4,20.0,20
2040,1,-0.1167816763743758,0.25786375788526916,4,20.0,20
2040,0,0.13730040416121486,0.1739239928952929,1,5.0,20
2040,1,-0.13200215660035608,0.3346772565898189,3,15.0,20
2080,0,0.2613995373249054,0.1736375182596572,3,15.0,20
2080,1,-0.07076471578329799,0.20158501476863946,4,20.0,20
2080,0,0.2492208421230316,0.22616557656603645,3,15.0,20
2080,1,-0.13486635535955427,0.1720796535241779,4,20.0,20
2120,0,0.3011149138212204,0.2655513577352746,0,0.0,20
2120,1,-0.056153908558189844,0.20992989664172212,3,15.0,20
2120,0,0.3010809436440468,0.25686600395675574,3,15.0,20
2120,1,-0.08859638059511779,0.1960737202689131,3,15.0,20
2160,0,0.14917736873030665,0.18100846956740083,2,10.0,20
2160,1,-0.07032182496041058,0.17532815150506648,7,35.0,20
2160,0,0.12390049621462824,0.16996626636189652,2,10.0,20
2160,1,-0.12080474719405172,0.21433410330986152,3,15.0,20
2200,0,-0.1961345450952649,0.18480364839361865,1,5.0,20
2200,1,-0.11540769189596174,0.3082979094664143,1,5.0,20
2200,0,-0.22438704930245876,0.14622040700015054,3,15.0,20
2200,1,0.0152101453393698,0.17397510104011402,3,15.0,20
2240,0,-0.17969148792326448,0.19936928096548143,3,15.0,20
2240,1,0.20049327053129673,0.20891533955053265,2,10.0,20
2240,0,-0.14181281104683874,0.24837054424407928,3,15.0,20
2240,1,0.21559514701366425,0.23205499053718173,2,10.0,20
2280,0,-0.06615906320512292,0.134423413446877,6,30.0,20
2280,1,-0.08431981503963468,0.2435271671240024,2,10.0,20
2280,0,-0.09470924623310564,0.13430884752097016,3,15.0,20
2280,1,-0.10298455134034154,0.23376961913922042,4,20.0,20
2320,0,0.08060016110539439,0.14272105238516097,8,40.0,20
2320,1,0.17983126491308216,0.19056239518248716,3,15.0,20
2320,0,0.10903367400169375,0.16021124969667527,5,25.0,20
2320,1,0.1639078199863434,0.20382813051710247,3,15.0,20
2360,0,0.012643054872751264,0.1214330146560998,6,30.0,20
2360,1,0.13894698843359948,0.19371664455217558,3,15.0,20
2360,0,0.03652287945151332,0.17238092805563854,4,20.0,20
2360,1,0.08693486750125887,0.19572473992246936,4,20.0,20
2400,0,0.08929868787527087,0.14117764897834606,0,0.0,20
2400,1,0.05732034891843798,0.20895348951589007,2,10.0,20
2400,0,0.04191823676228526,0.17599432806348322,4,20.0,20
2400,1,-0.01574790328741071,0.17867674763736577,3,15.0,20
2440,0,-0.04995861649513242,0.1804415073861987,4,20.0,20
2440,1,-0.022273490333463968,0.19393925312695065,2,10.0,20
2440,0,-0.030064122378826115,0.2266366802624866,1,5.0,20
2440,1,0.0065671220421791325,0.18874878851190816,5,25.0,20
2480,0,0.08101187571883202,0.18056281548976139,6,30.0,20
2480,1,0.030495628714561483,0.24431688565582577,3,15.0,20
2480,0,-0.010960016399621936,0.18938278749235904,7,35.0,20
2480,1,0.06774355568923059,0.23005328823724303,3,15.0,20
2520,0,0.2510067239403725,0.19390270107016483,3,15.0,20
2520,1,-0.10906860670074821,0.21220428071109296,2,10.0,20
2520,0,0.18975506350398066,0.15626276773006537,5,25.0,20
2520,1,-0.0703051511198282,0.19253408701422414,2,10.0,20
2560,0,0.2517620071768761,0.16342422494607675,2,10.0,20
2560,1,-0.08069393448531625,0.17089683019927213,7,35.0,20
2560,0,0.2761968165636063,0.14403758339043066,1,5.0,20
2560,1,-0.09080822616815565,0.21469755306848504,4,20.0,20
2600,0,-0.0007921651005744684,0.10769447278626221,5,25.0,20
2600,1,-0.09259020425379275,0.15141486532376275,3,15.0,20
2600,0,0.021543793380260495,0.11672223752473664,7,35.0,20
2600,1,-0.0353787272586487,0.17490996323306193,4,20.0,20
2640,0,-0.011141287535428975,0.13037346854700044,7,35.0,20
2640,1,-0.03993899859488008,0.13622366041706757,9,45.0,20
2640,0,0.004276230931282066,0.15737067519714149,2,10.0,20
2640,1,-0.05079114548861978,0.16268354302666221,6,30.0,20
2680,0,0.06359919235110285,0.12468210478415302,4,20.0,20
2680,1,-0.032639654353260966,0.11725164663309007,5,25.0,20
2680,0,0.06836714446544649,0.13298714996840363,6,30.0,20
2680,1,-0.04354255674406883,0.16750731107507882,7,35.0,20
2720,0,0.05304966270923617,0.11885205675694653,6,30.0,20
2720,1,-0.009976116009056544,0.1215551131828603,5,25.0,20
2720,0,0.11355298459529879,0.13700967161532204,4,20.0,20
2720,1,0.0015325103187933814,0.17391686742111892,4,20.0,20
2760,0,-0.08080195151269434,0.15159074048000304,6,30.0,20
2760,1,-0.021214427426457384,0.1980218896345206,5,25.0,20
2760,0,-0.0686274968087673,0.14074631922991426,4,20.0,20
2760,1,0.01892751939594748,0.1396854340001343,7,35.0,20
2800,0,-0.11213755607604978,0.1254416085597752,2,10.0,20
2800,1,0.1373183071613312,0.18477675045316827,2,10.0,20
2800,0,-0.11433637924492357,0.11132093850881677,3,15.0,20
2800,1,0.13468587547540667,0.14856136582012205,4,20.0,20
2840,0,-0.08917812667787073,0.1672013547828516,3,15.0,20
2840,1,0.1541402950882912,0.177352615297635,2,10.0,20
2840,0,-0.07567973732948301,0.1314080582013036,4,20.0,20
2840,1,0.08665686994791033,0.16663218443776528,4,20.0,20
2880,0,-0.10003628283739088,0.12236248013267541,7,35.0,20
2880,1,-0.07681074589490888,0.21415105613376414,3,15.0,20
2880,0,-0.06773730609565971,0.11143050900800254,6,30.0,20
2880,1,-0.06554209440946576,0.19452133530798554,4,20.0,20
2920,0,-0.06761846393346785,0.13105308050814812,4,20.0,20
2920,1,-0.04518484622240064,0.186691407880293,2,10.0,20
2920,0,-0.10443553756922482,0.13002854418467613,8,40.0,20
2920,1,0.018950698152184503,0.174082736306024,4,20.0,20
2960,0,-0.042924728244543055,0.20204235940536025,4,20.0,20
2960,1,-0.017956228554248783,0.17375131820548848,4,20.0,20
2960,0,-0.028107184544205643,0.15873131867762763,5,25.0,20
2960,1,-0.028916575945913764,0.15833955096290547,4,20.0,20
3000,0,-0.03570628799498079,0.14005765235203593,6,30.0,20
3000,1,0.031526813656091716,0.2028671197048195,2,10.0,20
3000,0,-0.08447058536112306,0.1371909394077898,2,10.0,20
3000,1,-0.00677515789866445,0.18075913566758026,6,30.0,20
3040,0,-0.062437101453542684,0.12559525826072887,3,15.0,20
